2023-02-09 17:04:19
地区,现存确诊,累计确诊,死亡,治愈
北京,11607,28389,20,16762
湖北,239,68864,4512,64113
广东,10000,62367,8,52359
浙江,1368,6198,1,4829
河南,2469,9047,23,6555
湖南,709,2868,4,2155
重庆,2530,9972,7,7435
安徽,23,1704,6,1675
四川,1571,11902,5,10326
山东,360,4782,8,4414
吉林,40,40487,5,40442
福建,745,7977,1,7231
江西,8,1549,1,1540
江苏,53,3847,0,3794
上海,603,65374,595,64176
广西,42,2447,2,2403
海南,1262,10434,6,9166
陕西,448,5558,3,5107
河北,93,2929,7,2829
黑龙江,218,5473,13,5242
辽宁,208,3087,2,2877
云南,1022,5404,2,4380
天津,267,2882,3,2612
山西,1052,5096,0,4044
甘肃,6,1563,2,1555
内蒙古,76,8389,1,8312
贵州,85,1794,2,1707
西藏,4,1522,0,1518
青海,46,536,0,490
新疆,0,2632,3,2629
宁夏,3,241,0,238
台湾,8576866,8605539,14931,13742
澳门,373,1659,16,1270
香港,371068,489096,11243,106785
