2023-02-09 17:04:19
province,城市,现存确诊,累计确诊,死亡,治愈
北京,东城区,1233,1241,0,8
北京,西城区,866,868,0,2
北京,朝阳区,5671,5673,0,2
北京,海淀区,2116,2118,0,2
北京,丰台区,1584,1587,0,3
北京,石景山区,874,875,0,1
北京,门头沟区,452,452,0,0
北京,房山区,579,579,0,0
北京,通州区,1842,1842,0,0
北京,顺义区,765,766,0,1
北京,昌平区,1374,1375,0,1
北京,大兴区,574,590,0,16
北京,怀柔区,305,305,0,0
北京,密云区,378,378,0,0
北京,延庆区,306,306,0,0
北京,平谷区,324,324,0,0
湖北,武汉,216,50789,3869,46704
湖北,黄冈,0,2913,125,2788
湖北,孝感,0,3518,129,3389
湖北,荆门,0,971,41,930
湖北,咸宁,0,836,15,821
湖北,荆州,0,1582,52,1530
湖北,襄阳,0,1190,40,1150
湖北,随州,0,1307,45,1262
湖北,十堰,0,674,8,666
湖北,鄂州,0,1395,59,1336
湖北,黄石,0,1016,39,977
湖北,宜昌,0,932,37,895
湖北,恩施州,0,255,7,248
湖北,仙桃,0,575,22,553
湖北,天门,0,498,15,483
湖北,潜江,0,200,9,191
湖北,神农架林区,0,12,0,12
广东,广州,18441,39924,1,21482
广东,深圳,1753,6653,3,4897
广东,东莞,444,940,1,495
广东,珠海,497,963,1,465
广东,佛山,1141,1613,0,472
广东,中山,709,864,0,155
广东,惠州,702,858,0,156
广东,汕头,1035,1073,0,38
广东,江门,561,724,0,163
广东,湛江,1173,1477,0,304
广东,肇庆,566,621,1,54
广东,梅州,152,171,0,19
广东,茂名,787,940,0,153
广东,阳江,544,597,0,53
广东,清远,394,418,0,24
广东,韶关,409,422,1,12
广东,揭阳,23,34,0,11
广东,汕尾,63,76,0,13
广东,潮州,556,563,0,7
广东,河源,139,148,0,9
广东,云浮,475,482,0,7
浙江,杭州,1142,1687,0,545
浙江,宁波,304,713,0,409
浙江,温州,234,811,1,576
浙江,湖州,154,191,0,37
浙江,嘉兴,15,193,0,178
浙江,绍兴,246,700,0,454
浙江,金华,40,280,0,240
浙江,衢州,156,274,0,118
浙江,舟山,65,95,0,30
浙江,台州,133,285,0,152
浙江,丽水,28,51,0,23
河南,信阳市,1,298,2,295
河南,南阳市,0,162,3,159
河南,郑州市,2374,6117,6,3737
河南,驻马店市,0,163,0,163
河南,商丘市,0,116,3,113
河南,周口市,0,184,1,183
河南,平顶山市,0,72,1,71
河南,新乡市,0,57,3,54
河南,安阳市,1,582,0,581
河南,许昌市,3,578,1,574
河南,漯河市,4,59,0,55
河南,焦作市,0,46,1,45
河南,洛阳市,0,55,1,54
河南,开封市,0,58,0,58
河南,鹤壁市,0,30,0,30
河南,濮阳市,0,45,0,45
河南,三门峡市,1,11,1,9
河南,济源示范区,32,39,0,7
湖南,长沙市,173,448,2,273
湖南,衡阳市,30,83,0,53
湖南,株洲市,85,195,0,110
湖南,湘潭市,68,109,0,41
湖南,邵阳市,141,338,1,196
湖南,岳阳市,46,210,1,163
湖南,常德市,20,102,0,82
湖南,张家界市,71,148,0,77
湖南,益阳市,32,101,0,69
湖南,郴州市,103,143,0,40
湖南,永州市,22,67,0,45
湖南,怀化市,84,149,0,65
湖南,娄底市,54,140,0,86
湖南,湘西自治州,18,31,0,13
重庆,万州,13,298,4,281
重庆,黔江,34,58,0,24
重庆,涪陵,61,93,0,32
重庆,渝中,185,379,1,193
重庆,大渡口,48,122,0,74
重庆,江北,142,301,0,159
重庆,沙坪坝,107,652,0,545
重庆,九龙坡,429,774,1,344
重庆,南岸,301,555,0,254
重庆,渝北,336,1202,0,866
重庆,巴南,146,395,0,249
重庆,长寿,22,99,0,77
重庆,江津,45,129,0,84
重庆,合川,28,121,0,93
重庆,永川,33,225,0,192
重庆,綦江,81,114,0,33
重庆,大足,0,150,0,150
重庆,璧山,8,51,0,43
重庆,铜梁,27,81,0,54
重庆,潼南,33,70,0,37
重庆,荣昌,22,94,0,72
重庆,开州,53,189,1,135
重庆,梁平,47,181,0,134
重庆,武隆,64,97,0,33
重庆,城口,42,63,0,21
重庆,丰都,33,44,0,11
重庆,垫江,19,270,0,251
重庆,忠县,15,42,0,27
重庆,云阳,33,142,0,109
重庆,奉节,89,140,0,51
重庆,巫山,10,69,0,59
重庆,巫溪,14,52,0,38
重庆,石柱,10,26,0,16
重庆,秀山,25,154,0,129
重庆,酉阳,13,30,0,17
重庆,彭水,37,78,0,41
重庆,万盛,65,75,0,10
重庆,北碚,117,298,0,181
重庆,南川,12,35,0,23
安徽,阜阳,0,168,0,168
安徽,合肥,24,230,1,205
安徽,马鞍山,6,47,0,41
安徽,芜湖,4,44,0,40
安徽,铜陵,12,45,0,33
安徽,安庆,4,91,0,87
安徽,亳州,0,108,0,108
安徽,黄山,0,9,0,9
安徽,滁州,0,15,0,15
安徽,六安,0,85,0,85
安徽,宿州,0,423,0,423
安徽,蚌埠,4,221,5,212
安徽,淮南,0,37,0,37
安徽,宣城,24,85,0,61
安徽,淮北,2,50,0,48
安徽,池州,3,24,0,21
四川,成都,1471,7159,4,5684
四川,自贡,16,35,0,19
四川,攀枝花,3,21,0,18
四川,泸州,93,156,0,63
四川,德阳,216,266,0,50
四川,绵阳,166,229,0,63
四川,广元,32,52,0,20
四川,遂宁,135,171,0,36
四川,内江,67,385,1,317
四川,乐山,83,98,0,15
四川,南充,6,82,0,76
四川,宜宾,195,321,0,126
四川,广安,41,299,0,258
四川,达州,0,49,0,49
四川,巴中,69,113,0,44
四川,雅安,13,21,0,8
四川,眉山,75,112,0,37
