privince,城市,地区
山西,太原,迎泽区除高风险区外的其他地区
山西,太原,小店区盛立苑2号楼3单元
山西,太原,小店区金泉羊汤大碗面（南中环街罗马花园店）
山西,太原,清徐县除高风险区外的其他区域
山西,太原,小店区盛立苑小区（2号楼3单元除外）
山西,太原,小店区翰林华府6号楼
山西,太原,小店区李家庄村北街一巷1排2户
山西,太原,万柏林区九院403小区9号楼2单元
山西,太原,晋源区绿地世纪城2期7号楼
山西,太原,小店区山西青年职业学院家属院4号楼1单元
山西,太原,万柏林区除高风险区外其他区域
山西,太原,万柏林学院国际16A
山西,太原,晋源区万科金域蓝湾一期1号楼3单元、4单元
山西,太原,晋源区东城角村信鸽协会
山西,太原,小店区龙城天悦7号楼3单元
山西,太原,小店区保利香槟国际小区13号楼1单元
山西,太原,小店区白云小区7号楼3单元
山西,太原,尖草坪区山西时代青年信鸽公棚
山西,太原,晋源区东城角村（信鸽协会二部除外）
山西,太原,小店区鼎太风华写字楼B座4—30层
山西,太原,晋源区晋阳堡村李大志鸽棚
山西,太原,小店区驴肉火烧店(红寺街)
山西,太原,晋源区万科金域蓝湾一期6号楼
山西,太原,晋源区姚村镇盛世田园小区3号楼
山西,太原,晋源区除高风险区外其他区域
山西,太原,阳曲县除高风险区外的其他区域
山西,太原,晋源区德恒世府苑3号楼2单元
山西,太原,晋源区晋祠镇南张村大众饭店
山西,太原,晋源区义井街20号太化公司小区3号楼
山西,太原,晋源区和平南路299号龙城快捷酒店
山西,太原,晋源区丽都静林湾小区7号楼
山西,太原,小店区晋宝翔俱乐部
山西,太原,晋源区北庄头村鸽棚
山西,太原,晋源区庞家寨村羴鲜羊汤馆
山西,太原,晋源区古城营俊清羊汤馆
山西,太原,晋源区东关村邮政快递
山西,太原,晋源区东关村菜鸟驿站
山西,太原,晋源区东关村村委会
山西,太原,晋源区晋阳堡村村委会
山西,太原,小店区太航小区太航西市场
山西,太原,晋源区晋阳堡村（村委会、李大志鸽棚除外）
山西,太原,晋源区东关村（村委会、邮政快递、菜鸟驿站除外）
山西,太原,晋源区庞家寨村（羴鲜羊汤馆除外）
山西,太原,晋源区古城营村（俊清羊汤馆除外）
山西,太原,晋源区北庄头村（鸽棚除外）
山西,太原,晋源区源香小镇小区
山西,太原,小店区除高风险区外其他区域
山西,太原,晋源区万科金域蓝湾一期2号楼2单元
山西,太原,小店区龙城壹号小区3号楼1单元
山西,太原,小店区臻观苑北区8号楼6单元
山西,太原,迎泽区迎泽苑小区8号楼
山西,太原,万柏林建北413小区11号楼3单元
山西,太原,小店区保利香槟国际小区（13号楼1单元除外）
山西,太原,万柏林区九院403小区（9号楼2单元除外）
山西,太原,万柏林区建北413小区（东至建筑东巷，南至412小区，西至铁南路，北至西铭路；11号楼3单元除外）
山西,太原,万柏林区建北惠生活便民市场
山西,太原,尖草坪区镇城村朝凤锦苑小区4号楼
山西,太原,尖草坪区镇城村（朝凤锦苑小区4号楼除外）
山西,太原,万柏林区中海国际社区片区（东至玉门河快速路，南至西铭街，西至西铭路，北至安宁街；中海国际社区3期除外）
山西,太原,小店区寇庄北街21中宿舍1号楼4单元
山西,太原,晋源区绿地世纪城四期30号楼
山西,太原,尖草坪区龙聚装饰城
山西,太原,迎泽区颐园小区10号楼
山西,太原,小店区小店村凤凰南路盛安东街5号
山西,太原,迎泽区兴隆街11号5号楼A座
山西,太原,迎泽区兴隆街11号5号楼B座
山西,太原,迎泽区旧城街全顺馨城小区15号楼2单元
山西,太原,迎泽区南海东街25号楼1单元
山西,太原,迎泽区桃园四巷北一条10号院1单元
山西,太原,迎泽区水西关南街省建五公司北楼
山西,太原,迎泽区海边街8号院B座
山西,太原,迎泽区水西关街海外宿舍1号楼3单元
山西,太原,迎泽区桃园四巷32号小二楼
山西,太原,迎泽区劲松北路26号3单元
山西,太原,迎泽区惠民北巷水利厅11号院5单元
山西,太原,迎泽区新建路56号供电局小区5号楼1单元
山西,太原,迎泽区中奥名邸
山西,太原,迎泽区水西关南一巷16号院1号楼1单元
山西,太原,迎泽区水西门26号国税宿舍东单元
山西,太原,迎泽区劲松北路19号楼
山西,太原,迎泽区西海街8号院2单元
山西,太原,迎泽区海边街H酒店
山西,太原,迎泽区景观新贵豪庭小区b座
山西,太原,迎泽区新城南街小区18号院4号楼
山西,太原,迎泽区财大北校宿舍3号楼
山西,太原,迎泽区朝阳小区4号楼
