privince,城市,地区
北京,北京,丰台区王佐镇王佐大富庄65号、66号所在区域
北京,北京,顺义区仁和(地区)镇 河南村黄家街15号周边20户区域
北京,北京,朝阳区小关街道 惠新里233号楼6单元
北京,北京,朝阳区小关街道 安苑东里三区5号自如寓
北京,北京,门头沟区潭柘寺镇 潭柘新区7号院2号楼2单元
北京,北京,朝阳区南磨房(地区)乡 欢乐谷金蝉南里小区8号楼
北京,北京,顺义区双丰街道鲁能溪园4号楼1单元
北京,北京,朝阳区和平街街道 和平街13区33号楼
北京,北京,朝阳区十八里店(地区)乡 横街子弘善玉文化中心B座南侧单元
北京,北京,朝阳区南磨房(地区)乡 美景东方8号楼
北京,北京,朝阳区南磨房(地区)乡 广泰西路一号院1号楼3单元
北京,北京,朝阳区南磨房(地区)乡 广华新城二区3号楼3单元
北京,北京,朝阳区高碑店(地区)乡 花园闸村83号
北京,北京,朝阳区左家庄街道 静安西街12号楼
北京,北京,朝阳区亚运村街道 安慧里一区12号楼1门
北京,北京,顺义区双丰街道金宝花园26号楼3单元
北京,北京,丰台区卢沟桥街道建邦枫景小区7号楼1单元
北京,北京,昌平区沙河(地区)镇 顺沙路19号院一区1号楼1单元
北京,北京,朝阳区劲松街道 广渠路36号院首城国际1号楼3单元
北京,北京,顺义区马坡(地区)镇 金宝花园北区23号楼2单元
北京,北京,顺义区马坡(地区)镇 秦武姚村一街13号、24号周边100米区域
北京,北京,丰台区大红门街道大红门路海慧寺45号
北京,北京,石景山区苹果园街道 东下庄38号院3号楼1单元
北京,北京,门头沟区大峪街道怡馨雅苑37号院3号楼2单元
北京,北京,朝阳区管庄(地区)乡 建东苑小区17号3单元
北京,北京,朝阳区管庄(地区)乡 管庄东里60号楼2单元
北京,北京,大兴区北臧村镇 八家村全域
北京,北京,大兴区北臧村镇 马村兴良路以南、南六环以北、村西边界以东、马北路以西
北京,北京,丰台区王佐镇佃起村277号公寓
北京,北京,朝阳区亚运村街道 华亭嘉园F座
北京,北京,朝阳区小关街道 小关北里204号楼7单元
北京,北京,石景山区苹果园街道 苹果园一区10号楼1单元
北京,北京,朝阳区首都机场街道 南平里小区25号楼3单元
北京,北京,朝阳区十八里店(地区)乡 小武基南杨庄224号
北京,北京,朝阳区小关街道 惠新里215号楼地下室
北京,北京,丰台区马家堡街道马家堡嘉园二里38号楼5单元
北京,北京,怀柔区龙山街道 南关村一区自建房
北京,北京,门头沟区永定（地区）镇 华润悦景湾4号楼
北京,北京,朝阳区安贞街道 裕民路12号院7号院
北京,北京,朝阳区十八里店(地区)乡 周庄嘉园20号院4号楼1单元
北京,北京,朝阳区十八里店(地区)乡 横街子西张家店350号
北京,北京,顺义区北小营镇水色时光花园社区四区23号楼2单元
北京,北京,通州区临河里街道 金隅创客园区
北京,北京,顺义区仁和(地区)镇 河南村小区5号楼
北京,北京,房山区长阳镇公议庄村公韩路以西区域
北京,北京,丰台区花乡街道郭公庄中街16号院6号楼
北京,北京,门头沟区永定镇惠润嘉园3B地块1号楼1单元
北京,北京,石景山区八宝山街道鲁谷74号院10号楼、26号楼4单元 
北京,北京,顺义区高丽营镇 南王路村厂东路2号
北京,北京,顺义区后沙峪(地区)镇 西田各庄村东侧自建别墅区及村东广场附近100米以西的区域
北京,北京,丰台区花乡街道天伦锦城小区13号楼
北京,北京,朝阳区管庄(地区)乡 远洋一方润园6号院10号楼1单元
北京,北京,丰台区玉泉营街道巴庄子村75-78号、192-197号、201-210号等平房区
北京,北京,房山区长阳镇馨然嘉园二区1号楼
北京,北京,朝阳区和平街街道 东土城路七号院2号楼
北京,北京,丰台区西罗园街道新新天第小区2号楼5单元
北京,北京,丰台区花乡街道欣葆家园1区5号楼4单元
北京,北京,朝阳区安贞街道 安华西里一区25号楼
北京,北京,丰台区五里店街道正阳北里16号楼
北京,北京,顺义区马坡(地区)镇 衙门村太平街10号周边250米范围区域
北京,北京,门头沟区永定（地区）镇 迎晖南苑社区8号楼
北京,北京,门头沟区军庄镇 惠通新苑2号楼1单元
北京,北京,门头沟区永定（地区）镇 西山梧桐2号楼1单元
北京,北京,顺义区高丽营镇 三村前街西一条1号至前街西一条6号、顺沙路19号、25号、27号之间的区域
北京,北京,大兴区瀛海（地区）镇 瀛海家园1号院17号楼3单元
北京,北京,丰台区太平桥街道太平桥小区11号楼
北京,北京,顺义区胜利街道永欣嘉园社区14号楼
北京,北京,顺义区马坡镇中晟馨苑1号院4号楼2单元
